sample	coverage	taxonomy
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	15.75	Root; d__Bacteria; p__Actinomycetota; c__Acidimicrobiia; o__Acidimicrobiales
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	1.77	Root; d__Bacteria; p__Actinomycetota; c__Acidimicrobiia; o__IMCC26256
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.11	Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Terriglobales
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.05	Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Bryobacterales
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.23	Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__20CM-2-55-15
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.4	Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Fen-336
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	5.6	Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.91	Root; d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__UBA7656
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	1.42	Root; d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__Multivoradales
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.35	Root; d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__UBA5066
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.65	Root; d__Bacteria; p__Myxococcota_A; c__Polyangia; o__Haliangiales
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	1.79	Root; d__Bacteria; p__Myxococcota_A; c__Polyangia; o__Polyangiales
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	1.22	Root; d__Bacteria; p__Myxococcota_A; c__Polyangia; o__Palsa-1104
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.74	Root; d__Bacteria; p__Myxococcota_A; c__UBA796; o__UBA796
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.97	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	1.02	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.4	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.29	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.23	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__AKYH767-A
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	3.03	Root; d__Bacteria; p__Planctomycetota; c__Planctomycetia; o__Pirellulales
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.11	Root; d__Bacteria; p__Planctomycetota; c__Planctomycetia; o__Isosphaerales
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.06	Root; d__Bacteria; p__Planctomycetota; c__Planctomycetia; o__Planctomycetales
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.47	Root; d__Bacteria; p__Planctomycetota; c__Planctomycetia; o__Gemmatales
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.4	Root; d__Bacteria; p__Planctomycetota; c__Planctomycetia; o__Kolteriales
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.17	Root; d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__Tepidisphaerales
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.62	Root; d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__Phycisphaerales
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.06	Root; d__Bacteria; p__Planctomycetota; c__PLA2; o__PLA2
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.4	Root; d__Bacteria; p__Planctomycetota; c__UBA1135; o__UBA1135
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	1.2	Root; d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadetes; o__Gemmatimonadales
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.41	Root; d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadetes; o__Longimicrobiales
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.96	Root; d__Bacteria; p__Chloroflexota; c__Chloroflexia; o__Thermomicrobiales
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.26	Root; d__Bacteria; p__Chloroflexota; c__Chloroflexia; o__QHBQ01
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.4	Root; d__Bacteria; p__Chloroflexota; c__Chloroflexia; o__Chloroflexales
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.17	Root; d__Bacteria; p__Chloroflexota; c__Dehalococcoidia; o__DSTF01
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.57	Root; d__Bacteria; p__Chloroflexota; c__Anaerolineae; o__Aggregatilineales
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.85	Root; d__Bacteria; p__Chloroflexota; c__Anaerolineae; o__Anaerolineales
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	1.39	Root; d__Bacteria; p__Chloroflexota; c__UBA6077; o__UBA6077
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.28	Root; d__Bacteria; p__Chloroflexota; c__UBA6077; o__FW602-bin22
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.06	Root; d__Bacteria; p__Chloroflexota; c__Dormibacteria; o__Dormibacterales
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	2.2	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Bacillales
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.72	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Paenibacillales
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	2.66	Root; d__Bacteria; p__Patescibacteriota; c__Minisyncoccia; o__Phycocordibacterales
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	2.61	Root; d__Bacteria; p__Patescibacteriota; c__Saccharimonadia; o__Saccharimonadales
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.57	Root; d__Bacteria; p__Patescibacteriota; c__Saccharimonadia; o__UBA4664
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.4	Root; d__Bacteria; p__Patescibacteriota; c__Microgenomatia; o__Levybacterales
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.63	Root; d__Bacteria; p__Patescibacteriota; c__Doudnabacteria; o__UBA920
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	6.1	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiia; o__Limisphaerales
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	2.49	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiia; o__Chthoniobacterales
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.06	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiia; o__Opitutales
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.82	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiia; o__Verrucomicrobiales
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.06	Root; d__Bacteria; p__Desulfobacterota; c__Binatia; o__UBA9968
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.59	Root; d__Bacteria; p__Desulfobacterota; c__Desulfuromonadia; o__Geobacterales
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	1.27	Root; d__Bacteria; p__Myxococcota; c__Myxococcia; o__Myxococcales
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.96	Root; d__Bacteria; p__Myxococcota; c__XYA12-FULL-58-9; o__XYA12-FULL-58-9
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.06	Root; d__Bacteria; p__Myxococcota; c__UBA727; o__UBA727
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.34	Root; d__Bacteria; p__Myxococcota; c__JADLHZ01; o__JADLHZ01
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	1.33	Root; d__Bacteria; p__Bdellovibrionota; c__UBA1018; o__UBA1018
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	1.31	Root; d__Bacteria; p__Bdellovibrionota; c__Bdellovibrionia; o__Bdellovibrionales
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.24	Root; d__Bacteria; p__Bdellovibrionota; c__FAC87; o__UBA2466
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.85	Root; d__Bacteria; p__Chlamydiota; c__Chlamydiia; o__Chlamydiales
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.23	Root; d__Bacteria; p__Armatimonadota; c__SYMT01; o__SYMT01
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.51	Root; d__Bacteria; p__Bdellovibrionota_B; c__Oligoflexia; o__Oligoflexales
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.45	Root; d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Mycoplasmatales
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.23	Root; d__Bacteria; p__Eisenbacteria; c__RBG-16-71-46; o__RBG-16-71-46
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.06	Root; d__Bacteria; p__Elusimicrobiota; c__Elusimicrobia; o__UBA1565
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.39	Root; d__Bacteria; p__Bdellovibrionota_C; c__UBA2361; o__UBA2361
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.46	Root; d__Bacteria; p__Bdellovibrionota_C; c__UBA2361; o__SZUA-149
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	1.88	Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrososphaeraceae
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	18.43	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.37	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Micropepsales; f__Micropepsaceae
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.12	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Azospirillales; f__Azospirillaceae
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	16.99	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	6.43	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	5.69	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.88	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Devosiaceae
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	1.26	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Kaistiaceae
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	1.32	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Aestuariivirgaceae
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	1.62	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.06	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Methyloligellaceae
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.51	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Afifellaceae
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	4.48	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Acetobacterales; f__Acetobacteraceae
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	6.34	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	1.67	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__ATCC43930; f__CGMCC-115725
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.57	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Dongiales; f__Dongiaceae
