sample	coverage	taxonomy
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.28	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__ATCC43930
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.45	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Micavibrionales
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.06	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Reyranellales
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.47	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rickettsiales
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.68	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhodospirillales
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	6.25	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	1.36	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Steroidobacterales
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	1.13	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Xanthomonadales
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.73	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.95	Root; d__Bacteria; p__Actinomycetota; c__UBA4738; o__UBA4738
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	1.42	Root; d__Bacteria; p__Actinomycetota; c__Thermoleophilia; o__Gaiellales
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	6.71	Root; d__Bacteria; p__Actinomycetota; c__Thermoleophilia; o__Solirubrobacterales
