sample	coverage	taxonomy
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	1.94	Root; d__Bacteria; p__Desulfobacterota; c__Binatia
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.06	Root; d__Bacteria; p__Desulfobacterota; c__Desulfuromonadia
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.06	Root; d__Bacteria; p__Myxococcota; c__Myxococcia
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.17	Root; d__Bacteria; p__Myxococcota; c__XYA12-FULL-58-9
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.23	Root; d__Bacteria; p__Krumholzibacteriota; c__Krumholzibacteriia
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	1.41	Root; d__Bacteria; p__Elusimicrobiota; c__Elusimicrobia
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.39	Root; d__Bacteria; p__Eisenbacteria; c__RBG-16-71-46
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.63	Root; d__Bacteria; p__Bacillota_I; c__Bacilli_A
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.11	Root; d__Bacteria; p__Methylomirabilota; c__Methylomirabilia
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.62	Root; d__Bacteria; p__Tectomicrobia; c__Entotheonellia
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.42	Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Nitrososphaerales
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	1.3	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Caulobacterales
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	4.74	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.11	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Reyranellales
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.81	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhodospirillales
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	7.83	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.63	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Steroidobacterales
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.53	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Xanthomonadales
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	1.49	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.11	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.62	Root; d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__Phycisphaerales
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.29	Root; d__Bacteria; p__Planctomycetota; c__Planctomycetia; o__Isosphaerales
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.62	Root; d__Bacteria; p__Planctomycetota; c__Planctomycetia; o__Gemmatales
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	3.37	Root; d__Bacteria; p__Planctomycetota; c__Planctomycetia; o__Pirellulales
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.06	Root; d__Bacteria; p__Planctomycetota; c__Planctomycetia; o__Planctomycetales
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.4	Root; d__Bacteria; p__Planctomycetota; c__UBA1135; o__UBA1135
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.62	Root; d__Bacteria; p__Planctomycetota; c__J058; o__J058
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	1.08	Root; d__Bacteria; p__Actinomycetota; c__Thermoleophilia; o__Gaiellales
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	3.11	Root; d__Bacteria; p__Actinomycetota; c__Thermoleophilia; o__Solirubrobacterales
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	3.88	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Mycobacteriales
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	5.48	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	3.03	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Propionibacteriales
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.38	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Streptomycetales
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.5	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__S36-B12
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	13.5	Root; d__Bacteria; p__Actinomycetota; c__Acidimicrobiia; o__Acidimicrobiales
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	1.44	Root; d__Bacteria; p__Actinomycetota; c__Acidimicrobiia; o__IMCC26256
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	1.36	Root; d__Bacteria; p__Actinomycetota; c__UBA4738; o__UBA4738
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	2.96	Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.56	Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Fen-336
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.84	Root; d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__Multivoradales
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.23	Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__20CM-2-55-15
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.08	Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Terriglobales
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.06	Root; d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__Pyrinomonadales
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.67	Root; d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__UBA7656
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.32	Root; d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadetes; o__Gemmatimonadales
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.74	Root; d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadetes; o__Longimicrobiales
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	2.36	Root; d__Bacteria; p__Myxococcota_A; c__Polyangia; o__Polyangiales
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.66	Root; d__Bacteria; p__Myxococcota_A; c__Polyangia; o__Haliangiales
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.52	Root; d__Bacteria; p__Myxococcota_A; c__Polyangia; o__Palsa-1104
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.57	Root; d__Bacteria; p__Myxococcota_A; c__UBA796; o__UBA796
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	1.47	Root; d__Bacteria; p__Chloroflexota; c__UBA6077; o__UBA6077
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.47	Root; d__Bacteria; p__Chloroflexota; c__UBA6077; o__FW602-bin22
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.06	Root; d__Bacteria; p__Chloroflexota; c__Limnocylindria; o__Limnocylindrales
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	1.27	Root; d__Bacteria; p__Chloroflexota; c__Chloroflexia; o__Thermomicrobiales
