sample	coverage	taxonomy
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	8.79	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.59	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Steroidobacterales
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.68	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Xanthomonadales
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.06	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Nevskiales
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.46	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	1.25	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.89	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.24	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__AKYH767-A
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.56	Root; d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__Phycisphaerales
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.74	Root; d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__UBA1845
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.06	Root; d__Bacteria; p__Planctomycetota; c__Planctomycetia; o__Isosphaerales
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.58	Root; d__Bacteria; p__Planctomycetota; c__Planctomycetia; o__Gemmatales
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	2.37	Root; d__Bacteria; p__Planctomycetota; c__Planctomycetia; o__Pirellulales
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.34	Root; d__Bacteria; p__Planctomycetota; c__Planctomycetia; o__Kolteriales
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.06	Root; d__Bacteria; p__Planctomycetota; c__SZUA-567; o__H5-PLA8
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.06	Root; d__Bacteria; p__Planctomycetota; c__UBA1135; o__UBA1135
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.4	Root; d__Bacteria; p__Planctomycetota; c__J058; o__J058
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	6.35	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiia; o__Limisphaerales
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.06	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiia; o__Opitutales
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.83	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiia; o__Chthoniobacterales
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.63	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiia; o__Verrucomicrobiales
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	1.58	Root; d__Bacteria; p__Myxococcota_A; c__Polyangia; o__Polyangiales
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.68	Root; d__Bacteria; p__Myxococcota_A; c__Polyangia; o__Haliangiales
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	1.28	Root; d__Bacteria; p__Myxococcota_A; c__Polyangia; o__Palsa-1104
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.91	Root; d__Bacteria; p__Myxococcota_A; c__UBA796; o__UBA796
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.67	Root; d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadetes; o__Gemmatimonadales
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.56	Root; d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadetes; o__Longimicrobiales
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.4	Root; d__Bacteria; p__Chloroflexota; c__Chloroflexia; o__Chloroflexales
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.74	Root; d__Bacteria; p__Chloroflexota; c__Chloroflexia; o__Thermomicrobiales
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.42	Root; d__Bacteria; p__Chloroflexota; c__UBA6077; o__FW602-bin22
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	1.81	Root; d__Bacteria; p__Chloroflexota; c__UBA6077; o__UBA6077
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.46	Root; d__Bacteria; p__Chloroflexota; c__Dehalococcoidia; o__CAUJGQ01
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.17	Root; d__Bacteria; p__Chloroflexota; c__Dehalococcoidia; o__DSTF01
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	1.08	Root; d__Bacteria; p__Chloroflexota; c__Anaerolineae; o__Aggregatilineales
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.74	Root; d__Bacteria; p__Chloroflexota; c__Anaerolineae; o__Anaerolineales
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.34	Root; d__Bacteria; p__Chloroflexota; c__UBA5177; o__SPIREOTU_01175024
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.45	Root; d__Bacteria; p__Nitrospirota; c__Nitrospiria; o__Nitrospirales
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.17	Root; d__Bacteria; p__Desulfobacterota; c__Binatia; o__UBA1149
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	2.3	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Bacillales
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.31	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Paenibacillales
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.79	Root; d__Bacteria; p__Armatimonadota; c__SYMT01; o__SYMT01
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.28	Root; d__Bacteria; p__Armatimonadota; c__Armatimonadia; o__Armatimonadales
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.28	Root; d__Bacteria; p__Armatimonadota; c__Chthonomonadetes; o__Chthonomonadales
