sample	coverage	taxonomy
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.06	Root; d__Bacteria; p__Fibrobacterota; c__Fibrobacteria
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.06	Root; d__Bacteria; p__Bdellovibrionota_B; c__Oligoflexia
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.05	Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Nitrososphaerales
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.05	Root; d__Archaea; p__Thermoplasmatota; c__E2; o__JACPAO01
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.58	Root; d__Archaea; p__Nanobdellota; c__Nanobdellia; o__Woesearchaeales
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	2.68	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Propionibacteriales
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	5.68	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	4.1	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Mycobacteriales
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.23	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Streptomycetales
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.28	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Streptosporangiales
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.82	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__S36-B12
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	6.83	Root; d__Bacteria; p__Actinomycetota; c__Thermoleophilia; o__Solirubrobacterales
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	2.25	Root; d__Bacteria; p__Actinomycetota; c__Thermoleophilia; o__Gaiellales
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	14.67	Root; d__Bacteria; p__Actinomycetota; c__Acidimicrobiia; o__Acidimicrobiales
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	2.04	Root; d__Bacteria; p__Actinomycetota; c__Acidimicrobiia; o__IMCC26256
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	1.24	Root; d__Bacteria; p__Actinomycetota; c__UBA4738; o__UBA4738
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	6.81	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.08	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Sphingomonadales
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.07	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__ATCC43930
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	2.02	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Caulobacterales
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.06	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Micropepsales
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.17	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Geminicoccales
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.57	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rickettsiales
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.06	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Reyranellales
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.57	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Micavibrionales
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	1.51	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhodospirillales
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	6.65	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.73	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Steroidobacterales
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.29	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	1.3	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.06	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Nevskiales
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	1.14	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Xanthomonadales
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.3	Root; d__Bacteria; p__Planctomycetota; c__Planctomycetia; o__Isosphaerales
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	4.02	Root; d__Bacteria; p__Planctomycetota; c__Planctomycetia; o__Pirellulales
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.77	Root; d__Bacteria; p__Planctomycetota; c__Planctomycetia; o__Gemmatales
