sample	coverage	taxonomy
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	1.59	Root; d__Bacteria; p__Bacillota; c__Bacilli
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	2.95	Root; d__Bacteria; p__Bacillota; c__Clostridia
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.28	Root; d__Bacteria; p__Bacillota; c__Negativicutes
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	2.09	Root; d__Bacteria; p__Myxococcota_A; c__Polyangia
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.11	Root; d__Bacteria; p__Myxococcota_A; c__UBA796
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.55	Root; d__Bacteria; p__Bacillota_I; c__Bacilli_A
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.68	Root; d__Bacteria; p__Omnitrophota; c__Gorgyraeia
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	1.08	Root; d__Bacteria; p__Elusimicrobiota; c__Elusimicrobia
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.06	Root; d__Bacteria; p__Methylomirabilota; c__Methylomirabilia
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.42	Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Nitrososphaerales
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.48	Root; d__Archaea; p__Nanobdellota; c__Nanobdellia; o__Woesearchaeales
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.06	Root; d__Bacteria; p__Desulfobacterota; c__Binatia; o__UBA1149
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.11	Root; d__Bacteria; p__Desulfobacterota; c__Desulfuromonadia; o__Geobacterales
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	4.14	Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.09	Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Fen-336
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.39	Root; d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__Pyrinomonadales
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.4	Root; d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__UBA7656
Caro-Soil-SIP-pooled__LR71_19__27673__L1_S43_L005_R1_001	0.73	Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Terriglobales
