localizeddatetime\r\n',temp,windSpeed,windDirection,humidity,dayRain_c,dayET_c
2025-07-10 21:00:00\r\n',52.2,0,9.893700787,89.5,0,0.812599557
2025-07-10 21:15:00\r\n',52.1,0,183.7401575,89.5,0,0.812599557
2025-07-10 21:45:00\r\n',51.4,0,149.8188976,90.5,0,0.812599557
2025-07-10 22:00:00\r\n',51.3,1,154.0590551,91.5,0,0.812599557
2025-07-10 22:15:00\r\n',51.3,0,155.4724409,91,0,0.812599557
2025-07-10 22:45:00\r\n',51.5,0,154.0590551,91.5,0,0.812599557
2025-07-10 23:00:00\r\n',51.7,0,310.9448819,91.5,0,0.812599557
2025-07-10 23:15:00\r\n',51.3,0,312.3582677,92,0,0.812599557
2025-07-10 23:30:00\r\n',51.6,0,292.5708661,91,0,0.812599557
2025-07-10 23:45:00\r\n',51.8,0,292.5708661,91,0,0.812599557
2025-07-11 00:00:00\r\n',50.8,0,156.8858268,92.5,0,0
2025-07-11 00:15:00\r\n',50.4,0,196.4606299,92,0,0
2025-07-11 00:45:00\r\n',49.9,0,185.1535433,94,0,0
2025-07-11 01:00:00\r\n',49.5,0,185.1535433,93.5,0,0
2025-07-11 01:15:00\r\n',50.1,0,245.9291339,94,0,0
2025-07-11 01:45:00\r\n',49.5,0,162.5393701,94,0,0
2025-07-11 02:00:00\r\n',49.4,0,252.996063,94,0,0
2025-07-11 02:15:00\r\n',50.3,0,196.4606299,94,0,0
2025-07-11 02:45:00\r\n',49.8,0,163.9527559,94.5,0,0
2025-07-11 03:00:00\r\n',49.7,0,168.1929134,95,0,0
2025-07-11 03:30:00\r\n',48.5,0,178.0866142,95,0,0
2025-07-11 03:45:00\r\n',48.9,0,175.2598425,95.5,0,0
2025-07-11 04:00:00\r\n',49.2,1,173.8464567,95.5,0,0
2025-07-11 04:30:00\r\n',49.3,0,173.8464567,95.5,0,0
2025-07-11 04:45:00\r\n',49.1,1,173.8464567,95.5,0,0
2025-07-11 05:00:00\r\n',49.3,0,173.8464567,96,0,0
2025-07-11 05:15:00\r\n',49.2,0,175.2598425,96,0,0
2025-07-11 05:30:00\r\n',48.4,0,200.7007874,95.5,0,0
2025-07-11 05:45:00\r\n',47.8,0,171.019685,95.5,0,0
2025-07-11 06:00:00\r\n',47.9,0,171.019685,96,0,4.62E-05
2025-07-11 06:15:00\r\n',47.9,0,171.019685,96,0,0.00019997
2025-07-11 06:30:00\r\n',48.4,0,171.019685,96,0,0.000642231
2025-07-11 06:45:00\r\n',48.8,0,171.019685,96,0,0.001797041
2025-07-11 07:15:00\r\n',50.5,0,69.25590551,96,0,0.006707059
2025-07-11 07:30:00\r\n',51.2,0,57.9488189,96,0,0.010309155
2025-07-11 07:45:00\r\n',52.4,0,29.68110236,96,0,0.015127708
2025-07-11 08:15:00\r\n',55.5,0,4.24015748,91,0,0.029181982
2025-07-11 08:30:00\r\n',57,2,4.24015748,87,0,0.03822294
2025-07-11 08:45:00\r\n',59,2,254.4094488,82.5,0,0.048481801
2025-07-11 09:00:00\r\n',60.8,4,254.4094488,79.5,0,0.059959142
2025-07-11 09:30:00\r\n',61.5,0,91.87007874,76,0,0.087574118
2025-07-11 09:45:00\r\n',63.7,3,21.2007874,73,0,0.10357877
2025-07-11 10:00:00\r\n',64.6,3,36.7480315,71,0,0.119772696
2025-07-11 10:30:00\r\n',67.3,1,70.66929134,66.5,0,0.15223682
2025-07-11 10:45:00\r\n',68.4,0,108.8307087,65,0,0.16913454
2025-07-11 11:00:00\r\n',70.8,3,22.61417323,63,0,0.188918341
2025-07-11 11:15:00\r\n',71.3,2,33.92125984,61,0,0.211401973
2025-07-11 11:30:00\r\n',72,3,53.70866142,59.5,0,0.235416611
2025-07-11 11:45:00\r\n',74.6,3,59.36220472,56.5,0,0.260213378
2025-07-11 12:00:00\r\n',74.5,2,39.57480315,57.5,0,0.286123554
2025-07-11 12:01:00\r\n',,,,,0,0.286123554
2025-07-11 12:15:00\r\n',75.1,2,7.066929134,55.5,0,0.286123554
2025-07-11 12:30:00\r\n',76.4,3,98.93700787,54.5,0,0.313502299
2025-07-11 12:45:00\r\n',75.7,3,93.28346457,55,0,0.340912923
2025-07-11 13:00:00\r\n',77.8,0,80.56299213,51.5,0,0.369401827
2025-07-11 13:15:00\r\n',78.6,2,316.5984252,50,0,0.398489416
2025-07-11 13:30:00\r\n',77.7,3,142.7519685,50.5,0,0.426792335
2025-07-11 13:45:00\r\n',79.4,3,57.9488189,49,0,0.454783709
2025-07-11 13:46:00\r\n',,,,,0,0.454783709
2025-07-11 14:00:00\r\n',78.2,3,7.066929134,50.5,0,0.454783709
2025-07-11 14:15:00\r\n',79.6,4,347.6929134,48.5,0,0.481802477
2025-07-11 14:30:00\r\n',78.2,4,14.13385827,50,0,0.508192526
2025-07-11 14:45:00\r\n',78.8,1,12.72047244,49,0,0.534522963
2025-07-11 15:00:00\r\n',79.8,5,329.3188976,47.5,0,0.560117398
2025-07-11 15:30:00\r\n',78.9,0,254.4094488,49,0,0.609224303
2025-07-11 15:45:00\r\n',78.4,1,86.21653543,49,0,0.632598418
2025-07-11 16:00:00\r\n',77.5,3,32.50787402,50,0,0.654555037
